Time Series,R2,R2_Adj,AIC,BIC
TS1,0.99997,0.99997,11540.73919,11572.61851
TS2,-0.00076,-0.00478,-7960.44697,-7928.56765
TS3,0.99989,0.99989,12601.72289,12633.60221
TS4,-0.00065,-0.00467,-15848.13766,-15816.25834
TS5,0.99941,0.99940,13868.99846,13900.87778
TS6,-0.00009,-0.00410,-1975.12826,-1943.24893
TS7,0.99990,0.99990,7171.66215,7203.54147
TS8,-0.00115,-0.00517,-7657.25753,-7625.37821
TS9,0.99980,0.99980,11573.06063,11604.93995
TS10,0.99972,0.99972,12950.95464,12982.83396
TS11,0.99953,0.99953,11717.22769,11749.10701
TS12,-0.00052,-0.00454,-8678.85633,-8646.97701
TS13,-0.00012,-0.00414,-2463.93466,-2432.05534
TS14,0.99992,0.99992,7342.27047,7374.14979
TS15,-0.00093,-0.00496,-16003.21490,-15971.33557
TS16,0.99990,0.99990,8405.34250,8437.22182
TS17,0.99996,0.99995,11880.76834,11912.64767
TS18,0.99990,0.99990,12902.19263,12934.07195
TS19,-0.00066,-0.00468,-12179.69485,-12147.81553
TS20,-0.00065,-0.00467,-10456.97825,-10425.09893
TS21,-0.00004,-0.00406,3561.08034,3592.95966
TS22,-0.00065,-0.00467,-17055.93137,-17024.05205
TS23,0.99998,0.99998,10560.30741,10592.18674
TS24,-0.00045,-0.00447,-7560.24747,-7528.36815
TS25,-0.00065,-0.00467,-15858.10581,-15826.22648
TS26,-0.00016,-0.00418,-3248.03634,-3216.15702
TS27,0.99982,0.99982,8672.68493,8704.56425
TS28,0.99903,0.99903,12479.02201,12510.90133
TS29,-0.00066,-0.00468,-12915.82303,-12883.94371
TS30,0.99960,0.99960,14062.69163,14094.57095
TS31,-0.00066,-0.00468,-17756.21450,-17724.33517
TS32,0.99986,0.99986,12247.04757,12278.92689
TS33,0.99998,0.99998,9983.27932,10015.15865
TS34,-0.00010,-0.00412,-8044.87062,-8012.99130
TS35,0.99995,0.99995,12026.28950,12058.16883
TS36,-0.00065,-0.00467,-7602.59722,-7570.71790
TS37,-0.00067,-0.00470,-12663.86711,-12631.98779
TS38,-0.00069,-0.00472,-10624.49489,-10592.61557
TS39,-0.00065,-0.00467,-18758.61627,-18726.73695
TS40,-0.00044,-0.00446,1670.21974,1702.09907
TS41,-0.00056,-0.00458,-11998.97676,-11967.09743
TS42,-0.00064,-0.00466,-15639.31859,-15607.43926
TS43,-0.00069,-0.00471,-18456.57879,-18424.69947
TS44,0.99987,0.99987,12895.53623,12927.41556
TS45,0.99928,0.99928,7546.96593,7578.84525
TS46,-0.00063,-0.00465,-7949.37160,-7917.49227
TS47,0.99984,0.99984,12234.08783,12265.96716
TS48,0.99994,0.99994,13004.99815,13036.87747
TS49,0.99993,0.99993,13373.64086,13405.52018
TS50,0.99983,0.99983,14287.96424,14319.84356
TS51,-0.00111,-0.00513,-10319.92517,-10288.04584
TS52,0.99993,0.99993,10257.28336,10289.16268
TS53,0.99994,0.99994,9888.24344,9920.12276
TS54,-0.00085,-0.00487,-21362.26285,-21330.38353
TS55,0.99975,0.99975,14940.66456,14972.54388
TS56,0.99979,0.99978,11320.84380,11352.72312
TS57,-0.00080,-0.00483,-5365.30261,-5333.42328
TS58,0.99762,0.99761,15092.84606,15124.72539
TS59,0.99991,0.99991,13484.36784,13516.24716
TS60,-0.00069,-0.00471,-14448.58697,-14416.70765
TS61,-0.00060,-0.00462,-21348.40976,-21316.53044
TS62,0.99969,0.99969,11600.39022,11632.26954
TS63,-0.00081,-0.00483,-8164.40554,-8132.52622
TS64,-0.00064,-0.00466,-11857.91045,-11826.03112
TS65,0.99880,0.99879,9676.64637,9708.52570
TS66,0.99990,0.99990,11185.91598,11217.79530
TS67,-0.00082,-0.00484,-2739.79438,-2707.91506
TS68,-0.00124,-0.00526,-10180.88624,-10149.00692
TS69,0.99986,0.99986,11995.87203,12027.75135
TS70,-0.00085,-0.00487,-5900.93501,-5869.05569
TS71,-0.00077,-0.00479,-6444.34568,-6412.46636
TS72,-0.00041,-0.00443,-2936.78278,-2904.90346
TS73,0.99943,0.99943,13611.42080,13643.30012
TS74,0.99945,0.99945,7412.55616,7444.43549
TS75,0.99979,0.99979,12843.04002,12874.91934
TS76,0.99920,0.99920,13660.66212,13692.54144
TS77,-0.00005,-0.00406,1743.72155,1775.60087
TS78,0.99986,0.99986,14265.02373,14296.90305
TS79,0.99989,0.99989,13913.88684,13945.76616
TS80,-0.00034,-0.00436,2012.78730,2044.66662
TS81,0.99999,0.99999,9424.31809,9456.19741
TS82,-0.00054,-0.00456,-4906.21199,-4874.33267
TS83,-0.00473,-0.00876,140.59825,172.47757
TS84,0.99984,0.99983,13320.99714,13352.87647
TS85,-0.00091,-0.00493,-3440.10066,-3408.22133
TS86,0.99998,0.99998,10985.03859,11016.91791
TS87,0.99976,0.99976,13614.95474,13646.83406
TS88,-0.00065,-0.00467,-11585.01395,-11553.13462
TS89,0.99974,0.99974,13156.73434,13188.61366
TS90,0.99965,0.99965,15832.21544,15864.09477
TS91,0.99997,0.99997,11626.99569,11658.87501
TS92,-0.00033,-0.00435,-1338.99138,-1307.11206
TS93,0.99994,0.99994,12651.31233,12683.19166
TS94,0.99990,0.99990,11343.63262,11375.51194
TS95,0.99020,0.99016,12544.22941,12576.10874
TS96,0.99981,0.99981,13721.01513,13752.89445
TS97,0.99992,0.99992,7702.85762,7734.73695
TS98,0.99982,0.99982,10174.45228,10206.33160
TS99,-0.00078,-0.00480,-12427.56139,-12395.68206
TS100,-0.00050,-0.00452,-9494.78064,-9462.90132
